GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
475,5275NIG,69532,28/11/2013,2013,1,Riots/Protests,Protesters (Nigeria),APC: All Progressives Congress,6,,,0,60,Nigeria,Osun,Osogbo,,Osogbo,7.76667,4.56667,1,This Day (Lagos),"The All Progressives Congress (APC) in Osun State embarked on a peaceful demonstration in Osogbo, the state capital to protest against the conduct of the November 16 governorship election in Anambra State. The group held a similar protest in Abuja.",0
475,5276NIG,69533,28/11/2013,2013,2,Violence against civilians,Boko Haram - Jama’atu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Nigeria,Borno,Kukawa,,Baga,13.09466,13.82343,2,Agence France Presse,"Suspected members of Boko Haram kill seven fisherman, injured 15 others and burnt some local boats and nets used for catching fish on Lake Chad near Baga. The reason for the attacks are not known.",9
475,5277NIG,69534,29/11/2013,2013,1,Battle-No change of territory,Vigilante Militia (Nigeria),,4,Boko Haram - Jama’atu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,34,Nigeria,Borno,Damboa,,Damboa,11.15604,12.75758,2,Leadership (Abuja),"Insurgents, suspected to be members of the Boko Haram Islamic invaded Sabon Gari village of Damboa local government area of Borno State and killed 17 residents and burnt down over 100 houses, shops, motorcycles and vehicles. A report claims that the villagers killed two of the attackers with the assistance of some vigilante groups, while three others who fled to Damboa town were arrested.",2
475,5278NIG,69535,29/11/2013,2013,1,Battle-No change of territory,Unidentified Communal Militia (Nigeria),,4,Unidentified Communal Militia (Nigeria),,4,44,Nigeria,Oyo,Egbeda,,Oderinale,7.35000,4.10000,1,Daily Trust (Abuja),"Anti riot policemen were drafted to Ode-Irele, headquarters of Irele council of Ondo State to maintain law and order after an attempt to install a parallel monarch led to a scuffle among residents. About 30 people were seriously injured while several houses were set ablaze in the crisis.",0
475,5279NIG,69536,29/11/2013,2013,1,Violence against civilians,Boko Haram - Jama’atu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Nigeria,Borno,Damboa,,Damboa,11.15604,12.75758,2,Leadership (Abuja),"Insurgents, suspected to be members of the Boko Haram Islamic invaded Sabon Gari village of Damboa local government area of Borno State and killed 17 residents and burnt down over 100 houses, shops, motorcycles and vehicles. A report claims that the villagers killed two of the attackers with the assistance of some vigilante groups, while three others who fled to Damboa town were arrested.",17
475,5280NIG,69537,30/11/2013,2013,2,Riots/Protests,Protesters (Nigeria),,6,,,0,60,Nigeria,Anambra,Awka South,,Awka,6.21010,7.07412,1,Premium Times (Abuja),"A group of women protest ahead of an election in Awka, calling for it to be cancelled. The group holds doubts the election will be fair. The group also demanded the immediate resignation of the Chairman of the Independent National Electoral Commission, INEC, Attahiru Jega, for the commissions failure to conduct credible governorship election in the state on November 16.",0
475,5281NIG,69538,01/12/2013,2013,1,Battle-No change of territory,BVYG: Borno Vigilance Youths Group,,3,Boko Haram - Jama’atu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,33,Nigeria,Borno,Kukawa,,Baga,13.09466,13.82343,1,Leadership (Abuja),A member of the Civilian JTF or BVYG narrowly escapes an assassination attempt by Boko Haram members.,0
475,5282NIG,69539,01/12/2013,2013,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),ANPP: All Nigeria Peoples Party,7,37,Nigeria,Rivers,Port Harcourt,,Port Harcourt,4.77742,7.01340,1,Vanguard (Lagos),Unknown gunmen abducted the daughter a former Vice-Chairman of the All Nigeria Peoples Party outside Port Harcourt. It is not clear if the kidnapping was politically motivated.,0
475,5283NIG,69540,02/12/2013,2013,1,Remote violence,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jama’atu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Nigeria,Borno,Maiduguri,,Maiduguri,11.84644,13.16027,1,Premium Times (Abuja),"Boko Haram attack the Composite Group Air force Base at the international airport and various parts (not named) of Maiduguri in the morning hours. The attack destroyed the 33 Artillery Barracks, burnt three aircraft and two helicopters among other military machinery, and razed down buildings. No fewer than 24 insurgents and two military men reportedly died in the incident. An unspecified number of civilians also dies in the incident.",26
475,5284NIG,69541,02/12/2013,2013,1,Remote violence,Boko Haram - Jama’atu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Nigeria,Borno,Maiduguri,,Maiduguri,11.84644,13.16027,1,Premium Times (Abuja),"Boko Haram attack the Composite Group Air force Base at the international airport and various parts (not named) of Maiduguri in the morning hours. The attack destroyed the 33 Artillery Barracks, burnt three aircraft and two helicopters among other military machinery, and razed down buildings. No fewer than 24 insurgents and two military men reportedly died in the incident. Other reports hold 20 members of security forces were killed in the attack. Later in the month Boko Haram leader Abubakar Shekau officially took responsibility for the attack.",5
475,5285NIG,69542,02/12/2013,2013,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),PDP: Peoples Democratic Party,7,37,Nigeria,Anambra,Nnewi South,,Uruobo-Okija,5.90016,6.84312,2,Vanguard (Lagos),"The Chairman of the Peoples Democratic Party in Anambra State was kidnapped on by a group of unidentified gunmen when his car was intercepted at Anyafulujiji Junction, Nri by his assailants. It is not clear if the attack was politically motivated.",0
475,5286NIG,69543,02/12/2013,2013,1,Violence against civilians,Vigilante Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Nigeria,Federal Capital Territory,Abuja Municipality,,Abuja,9.08333,7.53333,1,Leadership (Abuja),A vigilante militia lynch and beat a man involved in a hit-and-run accident. Police were able to save the man before death.,0
475,5287NIG,69544,03/12/2013,2013,1,Battle-No change of territory,Unidentified Communal Militia (Nigeria),,4,Unidentified Communal Militia (Nigeria),,4,44,Nigeria,Ondo,Akure South,,Akure,7.25256,5.19312,1,This Day (Lagos),Clashes between youths from Akure and Isolo after an order closing all shops and markets for seven days to mourn the death of a Akure local traditional ruler effected Isolo town. Ten injuries reported.,0
475,5288NIG,69545,04/12/2013,2013,1,Riots/Protests,Protesters (Nigeria),,6,,,0,60,Nigeria,Lagos,Ajeromi Ifelodun,,Ajegunle,6.45679,3.34149,1,Vanguard (Lagos),There was pandemonium in Ajegunle area of Lagos State after commercial motorcycle operators known called Okada riders protested against the killing of a colleague by a commercial bus.,0
475,5289NIG,69546,04/12/2013,2013,1,Riots/Protests,Protesters (Nigeria),,6,,,0,60,Nigeria,Kano,Kano Municipal,,Kano,12.00012,8.51672,1,This Day (Lagos),"Hundreds of physically challenged persons in Kano city, comprising lepers, the dumb and the blind, marched on Kano State House of Assembly to protest a law that banned them from street begging.",0
